iter	RMSE
662	80017.18297
663	79964.35259
664	79928.33472
665	79860.13848
666	79809.15469
667	79744.25018
668	79694.16404
669	79639.30662
670	79610.04092
671	79535.01773
672	79487.91422
673	79453.59064
674	79427.81347
675	79364.61348
676	79330.84469
677	79301.9453
678	79265.56416
679	79163.33806
680	79127.24342
681	79082.08042
682	79044.34943
683	79010.97386
684	78958.39668
685	78885.95208
686	78844.09841
687	78814.45326
688	78764.16028
689	78716.92618
690	78658.94601
691	78605.3381
692	78567.17989
693	78534.84389
694	78501.70971
695	78451.02854
696	78409.80227
697	78376.80939
698	78342.96579
699	78301.21255
700	78271.76913
701	78226.48708
702	78191.73277
703	78156.84357
704	78086.48501
705	78015.02677
706	77927.17803
707	77874.14381
708	77791.44681
709	77737.61808
710	77686.96028
711	77635.96551
712	77596.05356
713	77563.14006
714	77522.88696
715	77502.71478
716	77421.13208
717	77400.27836
718	77379.3193
719	77337.57119
720	77309.5558
721	77273.97348
722	77234.43361
723	77188.4077
724	77129.94791
725	77079.4114
726	77007.87299
727	76956.99258
728	76920.2787
729	76881.39149
730	76829.20788
731	76788.2965
732	76711.68276
733	76664.21794
734	76627.16487
735	76576.33295
736	76537.2132
737	76507.85914
738	76488.19121
739	76443.33556
740	76415.80541
741	76379.2624
742	76348.90811
743	76304.00264
744	76259.95965
745	76219.7868
746	76186.77423
747	76146.14103
748	76115.16218
749	76085.51883
750	76044.34771
751	76017.93061
752	75963.34989
753	75934.00677
754	75897.17331
755	75843.83347
756	75774.71394
757	75733.83196
758	75680.63392
759	75661.78971
760	75604.72976
761	75558.75718
762	75492.79376
763	75460.33486
764	75425.53882
765	75394.155
766	75368.6369
767	75337.85159
768	75315.02299
769	75291.93041
770	75258.31932
771	75235.25981
772	75190.75089
773	75132.53306
774	75107.55688
775	75083.67137
776	75045.14249
777	74997.46332
778	74977.0598
779	74938.80716
780	74912.99889
781	74883.00317
782	74852.22669
783	74812.02433
784	74777.15298
785	74734.9627
786	74712.95158
